negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'TSH', 'P09619', 'Q9GZP0'})"
"frozenset({'P09917', 'TSH', 'Q8N7K0'})"
"frozenset({'P0DP23', 'TSH', 'Q9UHD2'})"
"frozenset({'Q86X55', 'TSH', 'Q6ZRS2'})"
"frozenset({'TSH', 'Q8IYX4', 'P41238'})"
"frozenset({'TSH', 'A8MYZ6', 'P41235'})"
"frozenset({'TSH', 'P08238', 'O15372'})"
"frozenset({'TSH', 'Q7L190', 'P08670'})"
"frozenset({'Q15323', 'TSH', 'Q6P087'})"
"frozenset({'TSH', 'P62873', 'Q8NGC0'})"
"frozenset({'O43684', 'TSH', 'P35244'})"
"frozenset({'TSH', 'P84103', 'Q8WXA9'})"
"frozenset({'Q92974', 'P55072', 'TSH'})"
"frozenset({'Q969T4', 'TSH', 'O94874'})"
"frozenset({'Q9H4B6', 'TSH', 'Q14671'})"
"frozenset({'Q9P0K8', 'TSH', 'O75717'})"
"frozenset({'P78371', 'TSH', 'Q8TC44'})"
"frozenset({'TSH', 'P01889', 'O15144'})"
"frozenset({'TSH', 'P61254', 'Q06481'})"
"frozenset({'TSH', 'Q96C24', 'Q9ULV0'})"
"frozenset({'O75400', 'TSH', 'Q9Y3X0'})"
"frozenset({'TSH', 'P46108', 'Q9H706'})"
"frozenset({'TSH', 'Q9UBK8', 'Q96IK5'})"
"frozenset({'TSH', 'P09651', 'O14879'})"
"frozenset({'O14979', 'P51991', 'TSH'})"
"frozenset({'P38405', 'TSH', 'O14581'})"
"frozenset({'TSH', 'Q9H0R8', 'Q8TBP0'})"
"frozenset({'TSH', 'Q8TDY2', 'Q9GZS1'})"
"frozenset({'TSH', 'P45985', 'Q13043'})"
"frozenset({'TSH', 'Q9Y3B2', 'Q9NQT5'})"
"frozenset({'Q14651', 'TSH', 'P60891'})"
"frozenset({'TSH', 'Q92905', 'P28289'})"
"frozenset({'TSH', 'P61077', 'Q96GF1'})"
"frozenset({'TSH', 'Q9UIB8', 'Q06124'})"
"frozenset({'TSH', 'Q9NS86', 'P21266'})"
"frozenset({'TSH', 'P46781', 'P39023'})"
"frozenset({'TSH', 'P11177', 'Q14192'})"
"frozenset({'TSH', 'Q05586', 'P36873'})"
"frozenset({'Q15678', 'TSH', 'P56524'})"
"frozenset({'TSH', 'Q9UK32', 'Q13467'})"
"frozenset({'TSH', 'Q00534', 'P35711'})"
"frozenset({'TSH', 'Q6ZW49', 'P68431'})"
"frozenset({'TSH', 'Q01130', 'Q9NRR5'})"
"frozenset({'Q8N5I3', 'TSH', 'P51116'})"
"frozenset({'O43765', 'TSH', 'Q9Y5G9'})"
"frozenset({'P26641', 'TSH', 'P29692'})"
"frozenset({'TSH', 'P14921', 'Q9ULJ6'})"
"frozenset({'TSH', 'P62875', 'Q9UNH6'})"
"frozenset({'O14818', 'TSH', 'P28070'})"
"frozenset({'P29353', 'TSH', 'Q9BVA1'})"
"frozenset({'Q02083', 'TSH', 'Q92611'})"
"frozenset({'TSH', 'Q15906', 'P62805'})"
"frozenset({'Q6XE24', 'TSH', 'Q14197'})"
"frozenset({'TSH', 'Q5FWF5', 'O43463'})"
"frozenset({'TSH', 'O00232', 'P61289'})"
"frozenset({'TSH', 'Q8NI77', 'P62807'})"
"frozenset({'TSH', 'Q04206', 'Q9UBN7'})"
"frozenset({'TSH', 'O95136', 'P08754'})"
"frozenset({'Q13535', 'TSH', 'Q9NRN7'})"
"frozenset({'TSH', 'P31350', 'P53350'})"
"frozenset({'TSH', 'Q9NZ71', 'Q96SY0'})"
"frozenset({'O95166', 'TSH', 'P18505'})"
"frozenset({'TSH', 'P63208', 'Q9NP81'})"
"frozenset({'P27105', 'TSH', 'P18031'})"
"frozenset({'TSH', 'P13569', 'Q9ULV0'})"
"frozenset({'Q8IYE1', 'TSH', 'P54257'})"
"frozenset({'TSH', 'Q08211', 'P30876'})"
"frozenset({'TSH', 'Q13573', 'P68371'})"
"frozenset({'P24534', 'TSH', 'O60739'})"
"frozenset({'TSH', 'Q9Y6K9', 'Q9UQ80'})"
"frozenset({'TSH', 'Q02750', 'Q96RU8'})"
"frozenset({'TSH', 'Q7Z4K8', 'Q9H832'})"
"frozenset({'Q9Y2X7', 'TSH', 'Q9H0I3'})"
"frozenset({'Q9NYB0', 'Q9UKD2', 'TSH'})"
"frozenset({'TSH', 'Q96S94', 'Q9UG63'})"
"frozenset({'Q8IUB9', 'TSH', 'Q9Y5R4'})"
"frozenset({'TSH', 'Q96EQ0', 'Q9Y4L1'})"
"frozenset({'TSH', 'P53350', 'P47736'})"
"frozenset({'TSH', 'Q9NPG1', 'O00755'})"
"frozenset({'P35269', 'TSH', 'P29083'})"
"frozenset({'TSH', 'P01106', 'Q9NQX3'})"
"frozenset({'Q13148', 'TSH', 'Q13618'})"
"frozenset({'TSH', 'Q14164', 'Q9Y3U8'})"
"frozenset({'P78318', 'TSH', 'P62714'})"
"frozenset({'TSH', 'Q15554', 'Q06587'})"
"frozenset({'TSH', 'P67775', 'P11309'})"
"frozenset({'TSH', 'P42858', 'Q9Y639'})"
"frozenset({'O75376', 'TSH', 'P0C7T5'})"
"frozenset({'TSH', 'P18206', 'P09382'})"
"frozenset({'P19320', 'TSH', 'O43324'})"
"frozenset({'TSH', 'P42229', 'O60674'})"
"frozenset({'P54829', 'TSH', 'Q9NQC3'})"
"frozenset({'TSH', 'P28482', 'Q9NZK7'})"
"frozenset({'TSH', 'P46777', 'Q9UQL6'})"
"frozenset({'Q15109', 'TSH', 'Q99836'})"
"frozenset({'TSH', 'Q92796', 'A4D1P6'})"
"frozenset({'TSH', 'Q9BRT2', 'Q14164'})"
"frozenset({'Q9UBG3', 'TSH', 'Q96IY1'})"
"frozenset({'TSH', 'Q8NGL1', 'Q9P2W3'})"
"frozenset({'TSH', 'Q96RU2', 'Q86VU5'})"
"frozenset({'P24941', 'TSH', 'Q10567'})"
"frozenset({'Q07889', 'TSH', 'P12830'})"
"frozenset({'TSH', 'Q9H1H9', 'O43747'})"
"frozenset({'TSH', 'Q96QF0', 'Q9P0V3'})"
"frozenset({'P13984', 'TSH', 'O95573'})"
"frozenset({'O95425', 'TSH', 'Q9BVG8'})"
"frozenset({'Q99832', 'TSH', 'P50991'})"
"frozenset({'Q8NHV4', 'TSH', 'Q6IBW4'})"
"frozenset({'TSH', 'P05496', 'P18859'})"
"frozenset({'TSH', 'Q08380', 'Q8N8S7'})"
"frozenset({'Q12800', 'TSH', 'Q00987'})"
"frozenset({'Q9H0J9', 'TSH', 'P40692'})"
"frozenset({'TSH', 'P49841', 'Q9BZS1'})"
"frozenset({'TSH', 'Q9NS69', 'Q15717'})"
"frozenset({'P49790', 'TSH', 'P25054'})"
"frozenset({'TSH', 'Q9UNH5', 'Q9UM13'})"
"frozenset({'Q9UJM3', 'TSH', 'P62316'})"
"frozenset({'TSH', 'O95273', 'Q5I0X4'})"
"frozenset({'TSH', 'Q96RT1', 'P62993'})"
"frozenset({'TSH', 'P52434', 'P0DPB5'})"
"frozenset({'TSH', 'Q13627', 'P05161'})"
"frozenset({'Q99741', 'TSH', 'O75752'})"
"frozenset({'TSH', 'P00441', 'Q12931'})"
"frozenset({'TSH', 'P12956', 'Q8WU20'})"
"frozenset({'P21589', 'TSH', 'Q96BM9'})"
"frozenset({'TSH', 'P15923', 'Q0VG99'})"
"frozenset({'Q13620', 'TSH', 'P62913'})"
"frozenset({'O75582', 'TSH', 'O43541'})"
"frozenset({'P22607', 'TSH', 'Q9GZP0'})"
"frozenset({'P06756', 'TSH', 'P29317'})"
"frozenset({'TSH', 'P52739', 'P60468'})"
"frozenset({'Q6ZW31', 'TSH', 'Q9UHB6'})"
"frozenset({'TSH', 'Q16659', 'Q13501'})"
"frozenset({'TSH', 'P47712', 'P05106'})"
"frozenset({'Q9UQM7', 'P26640', 'TSH'})"
"frozenset({'TSH', 'Q52LG2', 'Q6PEX3'})"
"frozenset({'Q14643', 'TSH', 'Q13200'})"
"frozenset({'TSH', 'Q9NZ71', 'Q9NY61'})"
"frozenset({'P0DMV8', 'Q96EY1', 'TSH'})"
"frozenset({'P22314', 'TSH', 'O43567'})"
"frozenset({'TSH', 'Q9H0M0', 'P13010'})"
"frozenset({'P05113', 'TSH', 'P26992'})"
"frozenset({'Q15637', 'Q86UK7', 'TSH'})"
"frozenset({'P26012', 'TSH', 'Q96S06'})"
"frozenset({'P50052', 'TSH', 'Q9ULD2'})"
"frozenset({'TSH', 'P43360', 'Q13263'})"
"frozenset({'TSH', 'P08620', 'P21802'})"
"frozenset({'O00716', 'TSH', 'P02786'})"
"frozenset({'TSH', 'Q96PZ0', 'Q15717'})"
"frozenset({'Q16666', 'Q9BZE4', 'TSH'})"
"frozenset({'P01912', 'TSH', 'Q8TCQ1'})"
"frozenset({'P04637', 'TSH', 'P17931'})"
"frozenset({'TSH', 'Q8TBB1', 'P37198'})"
"frozenset({'P05067', 'TSH', 'P46781'})"
"frozenset({'Q9HBE4', 'TSH', 'Q8N6P7'})"
"frozenset({'TSH', 'O60262', 'O00222'})"
"frozenset({'TSH', 'Q96MW5', 'Q96IQ7'})"
"frozenset({'Q9HAH7', 'TSH', 'P61962'})"
"frozenset({'TSH', 'P60896', 'Q13200'})"
"frozenset({'P21964', 'TSH', 'Q9BQB6'})"
"frozenset({'TSH', 'P60409', 'Q99895'})"
"frozenset({'Q13133', 'TSH', 'P48552'})"
"frozenset({'Q9UQM7', 'TSH', 'Q06210'})"
"frozenset({'TSH', 'Q9UN42', 'P13637'})"
"frozenset({'TSH', 'Q9H6X2', 'P11498'})"
"frozenset({'TSH', 'O95718', 'P08047'})"
"frozenset({'TSH', 'Q9UHW5', 'P0DPB6'})"
"frozenset({'P0DMV8', 'TSH', 'Q8TAP6'})"
"frozenset({'Q9H0G5', 'TSH', 'O00159'})"
"frozenset({'P21333', 'TSH', 'O95782'})"
"frozenset({'TSH', 'Q99496', 'P50402'})"
"frozenset({'TSH', 'P30793', 'P11142'})"
"frozenset({'Q8N7H5', 'TSH', 'Q5VTR2'})"
"frozenset({'TSH', 'Q9UPZ3', 'O95988'})"
"frozenset({'P63098', 'TSH', 'Q9ULW6'})"
"frozenset({'TSH', 'Q9Y2Q3', 'P49755'})"
"frozenset({'P01857', 'TSH', 'P35219'})"
"frozenset({'TSH', 'P62937', 'Q9BY43'})"
"frozenset({'P30501', 'TSH', 'P43632'})"
"frozenset({'TSH', 'P60880', 'Q9NVR5'})"
"frozenset({'O43524', 'TSH', 'Q9Y297'})"
"frozenset({'TSH', 'Q15365', 'Q96FJ2'})"
"frozenset({'Q5JRV8', 'Q8TF42', 'TSH'})"
"frozenset({'TSH', 'Q9NZL4', 'P34932'})"
"frozenset({'P78527', 'TSH', 'O15393'})"
"frozenset({'TSH', 'P45973', 'Q16695'})"
"frozenset({'O43390', 'TSH', 'Q8N3D4'})"
"frozenset({'Q8IW35', 'TSH', 'Q8TCU4'})"
"frozenset({'P19338', 'TSH', 'P23219'})"
"frozenset({'Q96EY9', 'TSH', 'Q7Z6V5'})"
"frozenset({'Q9GZR7', 'Q9GZL7', 'TSH'})"
"frozenset({'O75317', 'Q9BRK5', 'TSH'})"
"frozenset({'TSH', 'P28482', 'P67775'})"
"frozenset({'TSH', 'A4UGR9', 'O75923'})"
"frozenset({'TSH', 'O95661', 'P50222'})"
"frozenset({'P09661', 'TSH', 'P62330'})"
"frozenset({'TSH', 'Q6ZV89', 'P62993'})"
"frozenset({'Q9Y3N9', 'TSH', 'Q9P2W3'})"
"frozenset({'TSH', 'P55072', 'Q08209'})"
"frozenset({'Q8TBK6', 'TSH', 'Q9UI36'})"
"frozenset({'P55268', 'P05556', 'TSH'})"
"frozenset({'P29459', 'TSH', 'P78552'})"
"frozenset({'P36897', 'TSH', 'Q9UNH7'})"
"frozenset({'Q9BUZ4', 'TSH', 'Q9Y239'})"
"frozenset({'P57679', 'TSH', 'Q99835'})"
"frozenset({'TSH', 'Q9BXJ5', 'Q9UHD9'})"
"frozenset({'TSH', 'P48643', 'Q96JN0'})"
"frozenset({'TSH', 'Q8N205', 'Q15437'})"
"frozenset({'TSH', 'Q96ST8', 'P33981'})"
"frozenset({'P32314', 'TSH', 'Q15717'})"
"frozenset({'P08254', 'TSH', 'O00214'})"
"frozenset({'Q14999', 'TSH', 'P25705'})"
"frozenset({'Q9H6S3', 'TSH', 'P63261'})"
"frozenset({'TSH', 'Q96R48', 'P62873'})"
"frozenset({'TSH', 'Q7L190', 'Q96KN7'})"
"frozenset({'TSH', 'P62847', 'P52272'})"
"frozenset({'TSH', 'Q13573', 'Q9Y6K9'})"
"frozenset({'TSH', 'O43542', 'O75616'})"
"frozenset({'TSH', 'Q13011', 'Q9H6K4'})"
"frozenset({'Q8IUC1', 'TSH', 'B2RUY7'})"
"frozenset({'TSH', 'P40424', 'Q00444'})"
"frozenset({'TSH', 'Q9Y4W2', 'Q96RG2'})"
"frozenset({'TSH', 'P68363', 'P08047'})"
"frozenset({'P04637', 'TSH', 'Q14498'})"
"frozenset({'TSH', 'P30153', 'Q8TCG1'})"
"frozenset({'TSH', 'Q96AT9', 'Q9BV20'})"
"frozenset({'P49736', 'TSH', 'P05412'})"
"frozenset({'TSH', 'Q8IYF3', 'Q9HBH7'})"
"frozenset({'Q92914', 'TSH', 'P35968'})"
"frozenset({'P42574', 'TSH', 'O60763'})"
"frozenset({'TSH', 'Q07021', 'Q96QD9'})"
"frozenset({'Q8IW50', 'TSH', 'Q2VPK5'})"
"frozenset({'TSH', 'Q00534', 'Q01201'})"
"frozenset({'Q8NBT0', 'TSH', 'Q8TC44'})"
"frozenset({'TSH', 'P04629', 'Q9H583'})"
"frozenset({'P14210', 'TSH', 'Q02763'})"
"frozenset({'TSH', 'P46934', 'Q8TAM6'})"
"frozenset({'TSH', 'P50395', 'P23416'})"
"frozenset({'A6NKD9', 'TSH', 'Q16821'})"
"frozenset({'Q9BV38', 'TSH', 'Q13573'})"
"frozenset({'P06730', 'TSH', 'P19971'})"
"frozenset({'TSH', 'Q9H0F6', 'P05107'})"
"frozenset({'P15509', 'P01566', 'TSH'})"
"frozenset({'Q9UPN7', 'TSH', 'O00743'})"
"frozenset({'P62906', 'TSH', 'Q9BZE4'})"
"frozenset({'P51148', 'TSH', 'Q6DD88'})"
"frozenset({'Q9H4A9', 'TSH', 'Q14839'})"
"frozenset({'TSH', 'P55795', 'Q96PU8'})"
"frozenset({'TSH', 'Q8WXF0', 'Q9UK80'})"
"frozenset({'Q13042', 'Q8NHZ8', 'TSH'})"
"frozenset({'TSH', 'P27635', 'P50914'})"
"frozenset({'Q06187', 'TSH', 'Q08881'})"
"frozenset({'O95831', 'TSH', 'Q96NL6'})"
"frozenset({'P35221', 'TSH', 'Q14032'})"
"frozenset({'TSH', 'Q15573', 'Q9BYG3'})"
"frozenset({'Q9BYQ4', 'TSH', 'O43597'})"
"frozenset({'TSH', 'P41182', 'P01111'})"
"frozenset({'TSH', 'Q9H6R7', 'Q9Y265'})"
"frozenset({'Q08117', 'TSH', 'P08246'})"
"frozenset({'P17858', 'TSH', 'P61221'})"
"frozenset({'Q13148', 'TSH', 'Q92879'})"
"frozenset({'TSH', 'Q12789', 'P11387'})"
"frozenset({'Q92890', 'TSH', 'Q8TAT6'})"
"frozenset({'TSH', 'Q9NVD3', 'Q96AG4'})"
"frozenset({'P19838', 'TSH', 'Q13158'})"
"frozenset({'TSH', 'P56545', 'Q9H171'})"
"frozenset({'P31749', 'TSH', 'Q8TEY5'})"
"frozenset({'TSH', 'P63104', 'Q13618'})"
"frozenset({'TSH', 'Q9UBP6', 'Q9UI26'})"
"frozenset({'TSH', 'P22001', 'P16389'})"
"frozenset({'TSH', 'O15169', 'Q13522'})"
"frozenset({'Q96JH7', 'TSH', 'P52735'})"
"frozenset({'Q8NFM4', 'TSH', 'P05129'})"
"frozenset({'P19838', 'TSH', 'P49642'})"
"frozenset({'TSH', 'O75928', 'P04150'})"
"frozenset({'TSH', 'Q92843', 'P04271'})"
"frozenset({'P11940', 'TSH', 'P27635'})"
"frozenset({'TSH', 'Q99627', 'Q13619'})"
"frozenset({'Q02083', 'TSH', 'Q6P4I2'})"
"frozenset({'TSH', 'Q02930', 'P49841'})"
"frozenset({'TSH', 'Q9Y4K3', 'P29350'})"
"frozenset({'O14493', 'TSH', 'P09758'})"
"frozenset({'TSH', 'Q6P1K8', 'Q13469'})"
"frozenset({'TSH', 'Q9UBF6', 'Q96PU5'})"
"frozenset({'P46379', 'TSH', 'P07949'})"
"frozenset({'TSH', 'P62753', 'P51812'})"
"frozenset({'TSH', 'P55795', 'P26599'})"
"frozenset({'TSH', 'Q92765', 'Q93098'})"
"frozenset({'P98082', 'TSH', 'P09769'})"
"frozenset({'TSH', 'P06400', 'O43463'})"
"frozenset({'P11586', 'Q5U5Q3', 'TSH'})"
"frozenset({'TSH', 'Q9Y3R0', 'Q63ZY3'})"
"frozenset({'Q86YS3', 'TSH', 'Q9BXF6'})"
"frozenset({'O95831', 'TSH', 'P05412'})"
"frozenset({'TSH', 'P61981', 'Q96CV9'})"
"frozenset({'Q9H346', 'TSH', 'P22612'})"
"frozenset({'Q13323', 'TSH', 'O95393'})"
"frozenset({'TSH', 'A5D8V6', 'Q92734'})"
"frozenset({'P46776', 'TSH', 'Q99496'})"
"frozenset({'O15403', 'TSH', 'P51825'})"
"frozenset({'P08962', 'TSH', 'P11831'})"
"frozenset({'TSH', 'P29590', 'Q13207'})"
"frozenset({'Q9UN67', 'TSH', 'P48039'})"
"frozenset({'TSH', 'Q96BR5', 'Q5TDH0'})"
"frozenset({'TSH', 'Q8TBZ8', 'Q2TAP0'})"
"frozenset({'TSH', 'Q6NUN9', 'Q9Y2R5'})"
"frozenset({'Q99735', 'TSH', 'P05412'})"
"frozenset({'TSH', 'P15927', 'Q8IWX8'})"
"frozenset({'Q14451', 'TSH', 'Q8NC69'})"
"frozenset({'TSH', 'P07101', 'P27348'})"
"frozenset({'TSH', 'P26373', 'Q8IZL8'})"
"frozenset({'TSH', 'P53805', 'P22694'})"
"frozenset({'TSH', 'Q86U42', 'P05412'})"
"frozenset({'TSH', 'P11217', 'Q9BYV6'})"
"frozenset({'TSH', 'P63173', 'P62263'})"
"frozenset({'TSH', 'P25205', 'P33991'})"
"frozenset({'O75131', 'TSH', 'Q12931'})"
"frozenset({'P02545', 'TSH', 'Q13823'})"
"frozenset({'TSH', 'O14640', 'Q96MT3'})"
"frozenset({'Q9H0J9', 'TSH', 'Q99496'})"
"frozenset({'Q6XPS3', 'TSH', 'P07948'})"
"frozenset({'TSH', 'P56704', 'Q9UK73'})"
"frozenset({'Q15109', 'TSH', 'P16333'})"
"frozenset({'TSH', 'Q5TA82', 'O43609'})"
"frozenset({'P22061', 'TSH', 'Q9UQL6'})"
"frozenset({'TSH', 'Q14103', 'Q9Y2H6'})"
"frozenset({'Q9UBQ0', 'TSH', 'Q13596'})"
"frozenset({'P28799', 'TSH', 'P50222'})"
"frozenset({'TSH', 'O15067', 'Q9NZL9'})"
"frozenset({'P08865', 'TSH', 'Q5VVX9'})"
"frozenset({'TSH', 'Q96N66', 'Q96GX1'})"
"frozenset({'TSH', 'Q9H469', 'Q9P2X7'})"
"frozenset({'TSH', 'Q9H0W5', 'Q12873'})"
"frozenset({'Q96RI1', 'TSH', 'O95750'})"
"frozenset({'P61513', 'TSH', 'P62266'})"
"frozenset({'TSH', 'Q12778', 'P61981'})"
"frozenset({'TSH', 'Q9BWU1', 'P48740'})"
"frozenset({'TSH', 'Q14126', 'Q8N3V7'})"
"frozenset({'TSH', 'P01589', 'P31785'})"
"frozenset({'Q12905', 'TSH', 'P11279'})"
"frozenset({'TSH', 'P0C1H6', 'Q9UQL6'})"
"frozenset({'TSH', 'P0C7T5', 'Q15038'})"
"frozenset({'O14979', 'TSH', 'P52272'})"
"frozenset({'TSH', 'P49327', 'O15264'})"
"frozenset({'P04181', 'TSH', 'P23508'})"
"frozenset({'TSH', 'P08172', 'Q5JY77'})"
"frozenset({'TSH', 'Q99853', 'O00255'})"
"frozenset({'Q01668', 'TSH', 'P30559'})"
"frozenset({'TSH', 'Q9UGP8', 'P04629'})"
"frozenset({'TSH', 'Q00839', 'Q7KZF4'})"
"frozenset({'TSH', 'P01571', 'Q13261'})"
"frozenset({'TSH', 'Q15291', 'A7E2Y1'})"
"frozenset({'TSH', 'Q504Q3', 'P62633'})"
"frozenset({'Q13133', 'TSH', 'P05067'})"
"frozenset({'TSH', 'P09603', 'A8MQ03'})"
"frozenset({'TSH', 'Q92569', 'Q9Y4H2'})"
"frozenset({'TSH', 'Q92556', 'P04629'})"
"frozenset({'P17612', 'P61925', 'TSH'})"
"frozenset({'TSH', 'Q6P1W5', 'Q63HR2'})"
"frozenset({'TSH', 'Q96IP4', 'P23458'})"
"frozenset({'Q16853', 'TSH', 'Q96BA8'})"
"frozenset({'TSH', 'P49754', 'Q9H9C1'})"
"frozenset({'TSH', 'Q9Y570', 'Q8N3K9'})"
"frozenset({'TSH', 'O75340', 'P09417'})"
"frozenset({'Q0VD86', 'TSH', 'Q6P5X5'})"
"frozenset({'TSH', 'P62491', 'Q7L804'})"
"frozenset({'TSH', 'Q8WZ42', 'Q92905'})"
"frozenset({'Q96CN9', 'TSH', 'Q99633'})"
"frozenset({'Q96FW1', 'TSH', 'P53621'})"
"frozenset({'P59998', 'Q96AY3', 'TSH'})"
"frozenset({'TSH', 'Q15554', 'Q92569'})"
"frozenset({'TSH', 'Q92769', 'A6NHQ4'})"
"frozenset({'P07948', 'TSH', 'P61221'})"
"frozenset({'TSH', 'P04629', 'P10643'})"
"frozenset({'Q99661', 'TSH', 'Q13043'})"
"frozenset({'P05067', 'TSH', 'P61923'})"
"frozenset({'TSH', 'P40763', 'P15172'})"
"frozenset({'Q5XKR4', 'TSH', 'O00585'})"
"frozenset({'O75800', 'TSH', 'A8MQ03'})"
"frozenset({'TSH', 'Q15365', 'Q9NUQ9'})"
"frozenset({'P26715', 'TSH', 'P54849'})"
"frozenset({'TSH', 'Q96H78', 'O60361'})"
"frozenset({'Q16513', 'TSH', 'Q9BVT8'})"
"frozenset({'TSH', 'P30203', 'P06127'})"
"frozenset({'TSH', 'P62873', 'Q8NGI4'})"
"frozenset({'O00273', 'TSH', 'Q13315'})"
"frozenset({'Q16512', 'TSH', 'Q15784'})"
"frozenset({'P03923', 'TSH', 'O95298'})"
"frozenset({'TSH', 'Q63HR2', 'O60504'})"
"frozenset({'TSH', 'Q9P000', 'Q01201'})"
"frozenset({'TSH', 'P20936', 'P00519'})"
"frozenset({'O95751', 'TSH', 'Q9BXY8'})"
"frozenset({'TSH', 'O00217', 'P03891'})"
"frozenset({'P07900', 'TSH', 'Q6NXR4'})"
"frozenset({'TSH', 'P62491', 'P49810'})"
"frozenset({'TSH', 'P33552', 'Q13309'})"
"frozenset({'TSH', 'P25787', 'Q9Y4K3'})"
"frozenset({'TSH', 'P17301', 'P42336'})"
"frozenset({'Q9UBU9', 'TSH', 'Q00325'})"
"frozenset({'P05067', 'Q13148', 'TSH'})"
"frozenset({'Q5HYA8', 'TSH', 'Q15005'})"
"frozenset({'Q9NZI8', 'TSH', 'Q96PU8'})"
"frozenset({'TSH', 'Q8N2M8', 'Q15038'})"
"frozenset({'TSH', 'P43243', 'O60260'})"
"frozenset({'Q9UJJ9', 'TSH', 'P60006'})"
"frozenset({'TSH', 'P35659', 'Q10586'})"
"frozenset({'Q08499', 'TSH', 'P27987'})"
"frozenset({'P23396', 'Q9BZV1', 'TSH'})"
"frozenset({'TSH', 'Q9Y6K9', 'Q9UBF6'})"
"frozenset({'TSH', 'P46108', 'P16383'})"
"frozenset({'TSH', 'P42224', 'Q9UFF9'})"
"frozenset({'TSH', 'Q9NRR4', 'P42285'})"
"frozenset({'TSH', 'P13797', 'Q6IQ23'})"
"frozenset({'TSH', 'P49959', 'Q99708'})"
"frozenset({'TSH', 'Q15796', 'Q9H160'})"
"frozenset({'O96005', 'TSH', 'Q96GX1'})"
"frozenset({'TSH', 'Q8NAP3', 'O75081'})"
"frozenset({'P62158', 'P40337', 'TSH'})"
"frozenset({'P59990', 'TSH', 'Q5T7P2'})"
"frozenset({'P17612', 'TSH', 'P04637'})"
"frozenset({'TSH', 'P56524', 'P16104'})"
"frozenset({'TSH', 'P01889', 'P07355'})"
"frozenset({'TSH', 'Q13976', 'Q16539'})"
"frozenset({'O60907', 'P35222', 'TSH'})"
"frozenset({'TSH', 'Q14213', 'P27824'})"
"frozenset({'TSH', 'Q9UJV9', 'Q13618'})"
"frozenset({'P08865', 'TSH', 'P13612'})"
"frozenset({'TSH', 'Q93034', 'P0C0E4'})"
"frozenset({'TSH', 'Q99459', 'Q03169'})"
"frozenset({'P01375', 'TSH', 'O43301'})"
"frozenset({'O75376', 'TSH', 'P48443'})"
"frozenset({'TSH', 'Q9Y4Y9', 'P62306'})"
"frozenset({'Q9UBQ0', 'TSH', 'O14929'})"
"frozenset({'Q9UNF0', 'TSH', 'Q6EMK4'})"
