negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'M', 'P25398', 'Q99558'})"
"frozenset({'M', 'Q9Y3E7', 'Q9UER7'})"
"frozenset({'Q8TCU6', 'M', 'P61952'})"
"frozenset({'P23921', 'M', 'P51688'})"
"frozenset({'M', 'Q8IVT2', 'O00159'})"
"frozenset({'M', 'Q6UXM1', 'Q16635'})"
"frozenset({'Q71RC2', 'M', 'P67809'})"
"frozenset({'Q13315', 'Q8N5F7', 'M'})"
"frozenset({'P09496', 'M', 'Q96CW1'})"
"frozenset({'M', 'P01106', 'Q9UHX1'})"
"frozenset({'M', 'Q9Y388', 'Q15717'})"
"frozenset({'M', 'P43243', 'A2AJT9'})"
"frozenset({'M', 'Q92621', 'Q9BVL2'})"
"frozenset({'M', 'Q9BTE1', 'Q9UJW0'})"
"frozenset({'M', 'Q9Y6X6', 'Q92731'})"
"frozenset({'M', 'Q562F6', 'Q9ULW8'})"
"frozenset({'P62877', 'M', 'Q9UHV2'})"
"frozenset({'M', 'Q99733', 'Q8N0Z3'})"
"frozenset({'M', 'P43657', 'P03886'})"
"frozenset({'M', 'P07900', 'Q9H553'})"
"frozenset({'Q9NPF4', 'Q13617', 'M'})"
"frozenset({'P31949', 'M', 'P11171'})"
"frozenset({'Q8WZ74', 'M', 'P43364'})"
"frozenset({'O43318', 'M', 'Q00610'})"
"frozenset({'P48552', 'M', 'P13631'})"
"frozenset({'O43298', 'M', 'Q3B820'})"
"frozenset({'M', 'Q9UKA8', 'P63098'})"
