negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'O75787', 'Q16864', 'BCR'})"
"frozenset({'O14639', 'P30419', 'BCR'})"
"frozenset({'P03915', 'BCR', 'O95182'})"
"frozenset({'Q01196', 'BCR', 'Q15723'})"
"frozenset({'Q9UBU9', 'Q92738', 'BCR'})"
"frozenset({'Q13049', 'BCR', 'Q969T4'})"
"frozenset({'Q04446', 'P54368', 'BCR'})"
"frozenset({'Q9Y4K3', 'P46781', 'BCR'})"
"frozenset({'P48357', 'BCR', 'Q969D9'})"
"frozenset({'BCR', 'Q9H1A4', 'Q08209'})"
"frozenset({'P54709', 'Q13683', 'BCR'})"
"frozenset({'P00533', 'Q9UBB4', 'BCR'})"
"frozenset({'P38398', 'BCR', 'P01574'})"
"frozenset({'Q9UNM6', 'Q9H3U1', 'BCR'})"
"frozenset({'P60866', 'Q9UH99', 'BCR'})"
"frozenset({'Q96LD1', 'BCR', 'Q8N8J7'})"
"frozenset({'P26599', 'Q9H4L7', 'BCR'})"
"frozenset({'P13725', 'P00533', 'BCR'})"
"frozenset({'Q9Y5K5', 'Q9BTT0', 'BCR'})"
"frozenset({'Q15717', 'P51003', 'BCR'})"
"frozenset({'O75379', 'BCR', 'Q9UID3'})"
"frozenset({'Q86UV6', 'P38398', 'BCR'})"
"frozenset({'BCR', 'P62263', 'P62851'})"
"frozenset({'Q8N5M1', 'Q99569', 'BCR'})"
"frozenset({'P08567', 'P07996', 'BCR'})"
"frozenset({'Q86W56', 'P18850', 'BCR'})"
"frozenset({'Q567U6', 'BCR', 'P36941'})"
"frozenset({'Q13415', 'BCR', 'Q9H5H4'})"
"frozenset({'Q13422', 'BCR', 'Q8IYL3'})"
"frozenset({'Q9Y399', 'Q14CZ7', 'BCR'})"
"frozenset({'BCR', 'P55212', 'Q13489'})"
"frozenset({'P04629', 'BCR', 'Q14697'})"
"frozenset({'O95267', 'P62714', 'BCR'})"
"frozenset({'O60262', 'BCR', 'Q8NGQ6'})"
"frozenset({'P50150', 'BCR', 'P08173'})"
"frozenset({'Q8WYA6', 'BCR', 'Q8IUH3'})"
"frozenset({'Q9Y2K1', 'BCR', 'P24278'})"
"frozenset({'Q86YD3', 'Q643R3', 'BCR'})"
"frozenset({'Q96PN8', 'Q9BYM8', 'BCR'})"
"frozenset({'O75147', 'Q13838', 'BCR'})"
"frozenset({'Q9BSE2', 'Q96IW7', 'BCR'})"
"frozenset({'P31276', 'O00358', 'BCR'})"
"frozenset({'P21673', 'Q04206', 'BCR'})"
"frozenset({'Q9H4L7', 'Q08945', 'BCR'})"
"frozenset({'P53708', 'BCR', 'Q6UXI9'})"
"frozenset({'Q12905', 'Q9UHA4', 'BCR'})"
"frozenset({'Q9GZT8', 'BCR', 'O95073'})"
"frozenset({'P00533', 'P55011', 'BCR'})"
"frozenset({'P62942', 'BCR', 'Q9NZ94'})"
"frozenset({'Q9BYE2', 'BCR', 'P55072'})"
"frozenset({'Q13309', 'BCR', 'P15923'})"
"frozenset({'Q13309', 'Q9Y2Z0', 'BCR'})"
"frozenset({'BCR', 'Q15345', 'Q93034'})"
"frozenset({'P51857', 'O95057', 'BCR'})"
"frozenset({'BCR', 'P16284', 'P19174'})"
"frozenset({'P62837', 'Q9BV68', 'BCR'})"
"frozenset({'P62873', 'BCR', 'Q8NG97'})"
"frozenset({'BCR', 'P06744', 'P05161'})"
"frozenset({'Q5THK1', 'P07900', 'BCR'})"
"frozenset({'Q9Y230', 'Q9H6T3', 'BCR'})"
"frozenset({'P07437', 'P35244', 'BCR'})"
"frozenset({'Q13753', 'BCR', 'P16070'})"
"frozenset({'O43638', 'BCR', 'Q92769'})"
"frozenset({'BCR', 'O43915', 'P35916'})"
"frozenset({'Q9UH62', 'Q9NVX0', 'BCR'})"
"frozenset({'P28799', 'Q07687', 'BCR'})"
"frozenset({'O75317', 'BCR', 'Q8TAF3'})"
"frozenset({'Q9UJ04', 'BCR', 'Q99457'})"
"frozenset({'BCR', 'Q8NEU8', 'P0CG20'})"
"frozenset({'P10153', 'P27348', 'BCR'})"
"frozenset({'O75832', 'P48556', 'BCR'})"
"frozenset({'Q02297', 'BCR', 'Q6UW68'})"
"frozenset({'O15027', 'O15460', 'BCR'})"
"frozenset({'Q9NRR6', 'Q5TCX8', 'BCR'})"
"frozenset({'Q9Y2D8', 'BCR', 'P60409'})"
"frozenset({'Q9P127', 'O00151', 'BCR'})"
"frozenset({'P33981', 'Q9Y6K9', 'BCR'})"
"frozenset({'Q14168', 'BCR', 'P53350'})"
"frozenset({'Q8TB61', 'BCR', 'Q96G97'})"
"frozenset({'O14654', 'BCR', 'P53041'})"
"frozenset({'Q92542', 'BCR', 'P16615'})"
"frozenset({'P62873', 'BCR', 'P31749'})"
"frozenset({'BCR', 'P55060', 'O00410'})"
"frozenset({'BCR', 'Q9HBM1', 'Q676U5'})"
"frozenset({'O15353', 'Q9UPW6', 'BCR'})"
"frozenset({'P51665', 'BCR', 'Q9Y2K6'})"
"frozenset({'P47929', 'Q15910', 'BCR'})"
"frozenset({'Q53S33', 'BCR', 'Q5JRX3'})"
"frozenset({'Q13616', 'P16403', 'BCR'})"
"frozenset({'Q5JTH9', 'O76094', 'BCR'})"
"frozenset({'Q9H0E2', 'BCR', 'Q8IZ07'})"
"frozenset({'P19438', 'BCR', 'P48023'})"
"frozenset({'P49356', 'BCR', 'Q96ED9'})"
"frozenset({'Q6SJ93', 'Q06265', 'BCR'})"
"frozenset({'P60484', 'Q05513', 'BCR'})"
"frozenset({'P63104', 'BCR', 'P50552'})"
"frozenset({'Q8NHQ1', 'BCR', 'Q9UFN0'})"
"frozenset({'Q96GM5', 'BCR', 'Q12824'})"
"frozenset({'Q15717', 'Q9C0E8', 'BCR'})"
"frozenset({'BCR', 'P02751', 'P09012'})"
"frozenset({'P35626', 'BCR', 'Q8NH79'})"
"frozenset({'Q5T753', 'Q5TA81', 'BCR'})"
"frozenset({'P68871', 'BCR', 'Q9UNS2'})"
"frozenset({'P20142', 'BCR', 'P50750'})"
"frozenset({'Q96DB2', 'Q5UIP0', 'BCR'})"
"frozenset({'BCR', 'Q8NB25', 'Q96KQ4'})"
"frozenset({'Q13315', 'BCR', 'P38606'})"
"frozenset({'Q8IWC1', 'BCR', 'Q5SW79'})"
"frozenset({'P41219', 'P08727', 'BCR'})"
"frozenset({'Q15788', 'BCR', 'P42229'})"
"frozenset({'P18031', 'O94822', 'BCR'})"
"frozenset({'BCR', 'Q13619', 'Q9NYS7'})"
"frozenset({'Q6IF42', 'P38405', 'BCR'})"
"frozenset({'P0DP23', 'Q9UNK0', 'BCR'})"
"frozenset({'BCR', 'P46109', 'P10721'})"
"frozenset({'Q8NA72', 'Q9UPN4', 'BCR'})"
"frozenset({'Q8IY81', 'BCR', 'P35998'})"
"frozenset({'P00533', 'BCR', 'Q9Y490'})"
"frozenset({'P03372', 'BCR', 'O75533'})"
"frozenset({'Q6PI48', 'BCR', 'Q15554'})"
"frozenset({'P05412', 'P53680', 'BCR'})"
"frozenset({'O75503', 'BCR', 'P16615'})"
"frozenset({'Q9P1Z2', 'BCR', 'P60520'})"
"frozenset({'P29353', 'BCR', 'Q13813'})"
"frozenset({'Q969S8', 'P20671', 'BCR'})"
"frozenset({'Q8NC51', 'Q53HC9', 'BCR'})"
"frozenset({'P38484', 'P01566', 'BCR'})"
"frozenset({'P02489', 'P07315', 'BCR'})"
"frozenset({'Q16623', 'BCR', 'O15400'})"
"frozenset({'Q02556', 'BCR', 'P41182'})"
"frozenset({'Q8WVC0', 'BCR', 'P63272'})"
"frozenset({'P16104', 'P54132', 'BCR'})"
"frozenset({'P41227', 'P04629', 'BCR'})"
"frozenset({'Q13394', 'BCR', 'Q8IUQ4'})"
"frozenset({'P20936', 'Q15910', 'BCR'})"
"frozenset({'P52272', 'BCR', 'Q5VYK3'})"
"frozenset({'Q9NX62', 'BCR', 'Q13635'})"
"frozenset({'P14923', 'BCR', 'Q92930'})"
"frozenset({'BCR', 'Q14517', 'P49759'})"
"frozenset({'P45985', 'BCR', 'P31749'})"
"frozenset({'Q9H210', 'P22694', 'BCR'})"
"frozenset({'P62906', 'Q00987', 'BCR'})"
"frozenset({'O95168', 'BCR', 'Q9Y6M9'})"
"frozenset({'Q9Y3U8', 'P05067', 'BCR'})"
"frozenset({'Q8TAD4', 'BCR', 'P15313'})"
"frozenset({'P51685', 'Q92583', 'BCR'})"
"frozenset({'A7E2Y1', 'Q92552', 'BCR'})"
"frozenset({'O94888', 'BCR', 'O60518'})"
"frozenset({'O75937', 'BCR', 'O95400'})"
"frozenset({'P51665', 'BCR', 'P08670'})"
"frozenset({'Q9UNI6', 'BCR', 'Q9P2H0'})"
"frozenset({'Q5JRA6', 'Q9Y6A5', 'BCR'})"
"frozenset({'P04626', 'P26045', 'BCR'})"
"frozenset({'P61981', 'Q13177', 'BCR'})"
"frozenset({'BCR', 'Q6IQ23', 'P35241'})"
"frozenset({'Q8IXT1', 'P34932', 'BCR'})"
"frozenset({'BCR', 'P19784', 'P20290'})"
"frozenset({'Q15744', 'Q8N1L9', 'BCR'})"
"frozenset({'O75444', 'BCR', 'P16220'})"
"frozenset({'Q8IYX8', 'Q13895', 'BCR'})"
"frozenset({'BCR', 'P52597', 'Q6P1J9'})"
"frozenset({'O95336', 'BCR', 'Q93062'})"
"frozenset({'Q96T23', 'P08047', 'BCR'})"
"frozenset({'P17612', 'BCR', 'Q6IEU7'})"
"frozenset({'P59998', 'Q9UBU9', 'BCR'})"
"frozenset({'Q8IY92', 'BCR', 'Q15554'})"
"frozenset({'BCR', 'P12931', 'Q9H9L3'})"
"frozenset({'P08637', 'P12314', 'BCR'})"
"frozenset({'P03372', 'BCR', 'Q15022'})"
"frozenset({'Q9H9S3', 'BCR', 'O94966'})"
"frozenset({'BCR', 'P67870', 'P27708'})"
"frozenset({'Q9UHD9', 'BCR', 'P80098'})"
"frozenset({'BCR', 'P23246', 'Q9Y575'})"
"frozenset({'P01009', 'BCR', 'P10114'})"
"frozenset({'BCR', 'Q8TB36', 'Q9Y3D6'})"
"frozenset({'Q13422', 'Q9H0A9', 'BCR'})"
"frozenset({'P03915', 'BCR', 'Q9H6D8'})"
"frozenset({'BCR', 'P22455', 'P16885'})"
"frozenset({'BCR', 'Q96RD7', 'P55210'})"
"frozenset({'Q13021', 'P21757', 'BCR'})"
"frozenset({'BCR', 'O14893', 'Q15287'})"
"frozenset({'O15198', 'Q86UK5', 'BCR'})"
"frozenset({'P13807', 'P18146', 'BCR'})"
"frozenset({'P10276', 'BCR', 'Q9UMX0'})"
"frozenset({'Q7L775', 'BCR', 'P54851'})"
"frozenset({'Q9NP66', 'BCR', 'Q9NRD5'})"
"frozenset({'Q8NHQ1', 'BCR', 'Q8TAG6'})"
"frozenset({'BCR', 'Q15287', 'O15400'})"
"frozenset({'Q9Y265', 'BCR', 'P30626'})"
"frozenset({'P61086', 'O94941', 'BCR'})"
"frozenset({'O00206', 'BCR', 'P58753'})"
"frozenset({'P61421', 'BCR', 'P49821'})"
"frozenset({'P08100', 'BCR', 'P63211'})"
"frozenset({'O14757', 'BCR', 'P07814'})"
"frozenset({'Q8TB45', 'BCR', 'O14980'})"
"frozenset({'O43559', 'BCR', 'Q96FE5'})"
"frozenset({'Q15583', 'BCR', 'P56545'})"
"frozenset({'Q8N0Z3', 'Q08AD1', 'BCR'})"
"frozenset({'P49736', 'BCR', 'Q6MZT1'})"
"frozenset({'O60603', 'P49006', 'BCR'})"
"frozenset({'P50402', 'Q13418', 'BCR'})"
"frozenset({'P05556', 'BCR', 'P13612'})"
"frozenset({'BCR', 'Q10570', 'P62140'})"
"frozenset({'BCR', 'P20618', 'Q9BX10'})"
"frozenset({'O43684', 'Q9UKE5', 'BCR'})"
"frozenset({'Q9UJS0', 'BCR', 'Q9BQ83'})"
"frozenset({'P27105', 'BCR', 'P13612'})"
"frozenset({'Q96GZ6', 'BCR', 'Q86UT5'})"
"frozenset({'BCR', 'P26371', 'Q8IUC1'})"
"frozenset({'P05771', 'BCR', 'P33241'})"
"frozenset({'P01106', 'Q9H841', 'BCR'})"
"frozenset({'BCR', 'P78337', 'Q9NP55'})"
"frozenset({'BCR', 'Q8NH87', 'P22612'})"
"frozenset({'BCR', 'P19338', 'Q15293'})"
"frozenset({'O15372', 'BCR', 'O00571'})"
"frozenset({'P43115', 'BCR', 'O95373'})"
"frozenset({'Q6ZMQ8', 'BCR', 'P51571'})"
"frozenset({'Q9P2A4', 'BCR', 'Q96L14'})"
"frozenset({'P63104', 'BCR', 'Q06413'})"
"frozenset({'BCR', 'Q9UKE5', 'Q96KQ4'})"
"frozenset({'Q96JN0', 'BCR', 'Q9BPW8'})"
"frozenset({'O95347', 'Q9Y2Q3', 'BCR'})"
"frozenset({'P40337', 'BCR', 'P48729'})"
"frozenset({'BCR', 'P50990', 'P78371'})"
"frozenset({'P46776', 'BCR', 'Q5TC82'})"
"frozenset({'Q99956', 'BCR', 'P49841'})"
"frozenset({'Q6AI12', 'BCR', 'Q8N8Q3'})"
"frozenset({'Q9BQ66', 'BCR', 'Q6PEX3'})"
"frozenset({'BCR', 'Q9H9Y6', 'P62993'})"
"frozenset({'P61254', 'P47914', 'BCR'})"
"frozenset({'Q92614', 'BCR', 'P28290'})"
"frozenset({'Q13148', 'Q8WWM7', 'BCR'})"
"frozenset({'Q96S59', 'P02786', 'BCR'})"
"frozenset({'Q13233', 'O15169', 'BCR'})"
"frozenset({'P04053', 'BCR', 'Q9UMS4'})"
"frozenset({'Q9BPU9', 'BCR', 'Q9BSM1'})"
"frozenset({'Q6ZNH5', 'Q5VWX1', 'BCR'})"
"frozenset({'Q8TDQ7', 'BCR', 'P00441'})"
"frozenset({'BCR', 'Q3V6T2', 'Q5H9I0'})"
"frozenset({'P61964', 'BCR', 'Q92769'})"
"frozenset({'Q9Y5H9', 'BCR', 'Q00839'})"
"frozenset({'Q07890', 'Q9UQC2', 'BCR'})"
"frozenset({'Q13547', 'BCR', 'P10768'})"
"frozenset({'O15357', 'BCR', 'P13647'})"
"frozenset({'A1L4K1', 'P36508', 'BCR'})"
"frozenset({'BCR', 'P19338', 'Q03164'})"
"frozenset({'A8MQ03', 'BCR', 'Q9BYQ4'})"
"frozenset({'Q14764', 'BCR', 'Q08117'})"
"frozenset({'Q5T0N5', 'O00401', 'BCR'})"
"frozenset({'Q8N137', 'Q96AC1', 'BCR'})"
"frozenset({'Q13263', 'BCR', 'Q7Z6Z7'})"
"frozenset({'Q9NQ66', 'BCR', 'P08138'})"
"frozenset({'P02766', 'P46379', 'BCR'})"
"frozenset({'P49023', 'P23470', 'BCR'})"
"frozenset({'Q9UHB6', 'P09382', 'BCR'})"
"frozenset({'P25685', 'Q9Y266', 'BCR'})"
"frozenset({'P78329', 'BCR', 'P62993'})"
"frozenset({'Q9NXF1', 'P27694', 'BCR'})"
"frozenset({'P62241', 'BCR', 'P18077'})"
"frozenset({'Q9UGY1', 'BCR', 'Q9Y2D8'})"
"frozenset({'Q05516', 'P40424', 'BCR'})"
"frozenset({'P61019', 'BCR', 'P20339'})"
"frozenset({'Q12905', 'BCR', 'P38919'})"
"frozenset({'Q9UBU9', 'Q7Z3S9', 'BCR'})"
"frozenset({'BCR', 'Q9UBZ4', 'P22314'})"
"frozenset({'P29372', 'BCR', 'O43809'})"
"frozenset({'Q14315', 'BCR', 'Q8N9F0'})"
"frozenset({'P60411', 'Q9P2Z0', 'BCR'})"
"frozenset({'Q9Y2I6', 'BCR', 'Q15058'})"
"frozenset({'Q9UKK9', 'Q9Y478', 'BCR'})"
"frozenset({'P31947', 'BCR', 'Q9Y4L5'})"
"frozenset({'Q9HAW8', 'P80188', 'BCR'})"
"frozenset({'Q93099', 'BCR', 'Q14161'})"
"frozenset({'Q6PL18', 'BCR', 'P62805'})"
"frozenset({'Q8IUD6', 'Q08379', 'BCR'})"
"frozenset({'P04629', 'BCR', 'P38606'})"
"frozenset({'Q07444', 'BCR', 'P10321'})"
"frozenset({'Q8NBZ0', 'Q53TQ3', 'BCR'})"
"frozenset({'Q9NPG1', 'BCR', 'P41221'})"
"frozenset({'Q9NWT6', 'BCR', 'Q9Y3T9'})"
"frozenset({'Q9H9Z2', 'BCR', 'Q9UMS4'})"
"frozenset({'Q9P2I0', 'BCR', 'P36873'})"
"frozenset({'Q9H4G0', 'P54274', 'BCR'})"
"frozenset({'P18031', 'Q9H6U6', 'BCR'})"
"frozenset({'P04049', 'O15371', 'BCR'})"
"frozenset({'P50222', 'BCR', 'Q17RA5'})"
"frozenset({'P52434', 'P19388', 'BCR'})"
"frozenset({'P49321', 'BCR', 'P55072'})"
"frozenset({'Q03405', 'Q9NXL9', 'BCR'})"
"frozenset({'P40429', 'P49354', 'BCR'})"
"frozenset({'O95292', 'BCR', 'P47985'})"
"frozenset({'Q9ULH4', 'BCR', 'Q13618'})"
"frozenset({'P14373', 'Q8TES7', 'BCR'})"
"frozenset({'BCR', 'Q92820', 'P49917'})"
"frozenset({'BCR', 'O75530', 'Q96EB6'})"
"frozenset({'P08134', 'P52565', 'BCR'})"
"frozenset({'Q13263', 'Q9Y230', 'BCR'})"
"frozenset({'O94986', 'Q9NVX0', 'BCR'})"
"frozenset({'P49639', 'BCR', 'Q8WWZ8'})"
"frozenset({'Q6AI39', 'Q8N6Y0', 'BCR'})"
"frozenset({'Q96P65', 'BCR', 'P54760'})"
"frozenset({'Q9H501', 'BCR', 'Q9NY61'})"
"frozenset({'Q9NYN1', 'Q96PE2', 'BCR'})"
"frozenset({'Q99729', 'BCR', 'O14879'})"
"frozenset({'Q96PV4', 'P26196', 'BCR'})"
"frozenset({'P60410', 'Q9UIJ7', 'BCR'})"
"frozenset({'BCR', 'Q8IVF2', 'Q9H0R8'})"
"frozenset({'P19838', 'BCR', 'P04279'})"
"frozenset({'O94906', 'BCR', 'O75643'})"
"frozenset({'P62877', 'P35354', 'BCR'})"
"frozenset({'BCR', 'Q92541', 'Q8N7H5'})"
"frozenset({'P61254', 'Q06481', 'BCR'})"
"frozenset({'P24386', 'Q9H0T7', 'BCR'})"
"frozenset({'P55769', 'P11171', 'BCR'})"
"frozenset({'O14829', 'BCR', 'O95573'})"
"frozenset({'Q92990', 'BCR', 'Q13619'})"
"frozenset({'Q9H607', 'P78362', 'BCR'})"
"frozenset({'P61326', 'BCR', 'Q15022'})"
"frozenset({'Q9HCE1', 'Q9NWV8', 'BCR'})"
"frozenset({'BCR', 'Q9H9F9', 'P35813'})"
"frozenset({'P04792', 'BCR', 'O43432'})"
"frozenset({'P50454', 'Q6IQ23', 'BCR'})"
"frozenset({'BCR', 'P54725', 'Q12933'})"
"frozenset({'Q8NCW0', 'O94907', 'BCR'})"
"frozenset({'Q7L2E3', 'BCR', 'Q9H0W5'})"
"frozenset({'Q8WXE1', 'Q9BTP7', 'BCR'})"
"frozenset({'Q9UNL2', 'BCR', 'Q96CT2'})"
"frozenset({'Q9H8W4', 'Q9UKJ5', 'BCR'})"
"frozenset({'BCR', 'Q9H2H9', 'Q92543'})"
"frozenset({'Q9BV73', 'BCR', 'P62318'})"
"frozenset({'O95832', 'BCR', 'Q8TBB1'})"
"frozenset({'Q86WV1', 'BCR', 'O00459'})"
"frozenset({'Q14135', 'BCR', 'Q9NYB0'})"
"frozenset({'Q96K58', 'BCR', 'P43243'})"
"frozenset({'Q9Y5K5', 'P20930', 'BCR'})"
"frozenset({'BCR', 'Q01094', 'Q00577'})"
"frozenset({'P54253', 'P78330', 'BCR'})"
"frozenset({'BCR', 'P22612', 'Q8NGA5'})"
"frozenset({'Q86UT6', 'BCR', 'O14735'})"
"frozenset({'P23443', 'BCR', 'Q92831'})"
"frozenset({'Q53HL2', 'Q9BXS6', 'BCR'})"
"frozenset({'Q16665', 'Q9BY76', 'BCR'})"
"frozenset({'P62269', 'BCR', 'P49736'})"
"frozenset({'BCR', 'P12931', 'Q13796'})"
"frozenset({'BCR', 'P11021', 'P56704'})"
"frozenset({'Q8WTV0', 'BCR', 'Q6UX41'})"
"frozenset({'P03372', 'Q16576', 'BCR'})"
"frozenset({'BCR', 'Q9NPJ6', 'Q99459'})"
"frozenset({'Q8IWC1', 'Q9UET6', 'BCR'})"
"frozenset({'Q9BT40', 'P81605', 'BCR'})"
"frozenset({'Q8IWL3', 'BCR', 'O43837'})"
"frozenset({'Q9NRX3', 'BCR', 'Q99613'})"
"frozenset({'BCR', 'O00562', 'P19784'})"
"frozenset({'P10914', 'BCR', 'P01574'})"
"frozenset({'Q13547', 'BCR', 'Q9Y6J9'})"
"frozenset({'BCR', 'O43186', 'A5D8V6'})"
"frozenset({'Q7Z7K0', 'Q9Y2R0', 'BCR'})"
"frozenset({'BCR', 'P46527', 'O43524'})"
"frozenset({'BCR', 'P24941', 'Q15084'})"
"frozenset({'P07195', 'P11441', 'BCR'})"
"frozenset({'Q7LBC6', 'Q92793', 'BCR'})"
"frozenset({'P48357', 'BCR', 'P05113'})"
"frozenset({'Q9NWT6', 'BCR', 'P35998'})"
"frozenset({'BCR', 'Q13131', 'O15360'})"
"frozenset({'Q8NGP2', 'P22612', 'BCR'})"
"frozenset({'Q06889', 'BCR', 'P05112'})"
"frozenset({'P54852', 'BCR', 'P26715'})"
"frozenset({'P16989', 'BCR', 'Q8IYB3'})"
"frozenset({'Q9BVJ6', 'BCR', 'P15927'})"
"frozenset({'Q99567', 'Q16666', 'BCR'})"
"frozenset({'O75558', 'BCR', 'Q9BWG6'})"
"frozenset({'Q96JM3', 'BCR', 'Q7Z2W7'})"
"frozenset({'Q7Z406', 'P19105', 'BCR'})"
"frozenset({'P61218', 'P34741', 'BCR'})"
"frozenset({'Q9BU76', 'A7MD48', 'BCR'})"
"frozenset({'Q6NZI2', 'BCR', 'Q8TD31'})"
"frozenset({'BCR', 'Q01844', 'P15036'})"
"frozenset({'Q9NX63', 'Q9P0L0', 'BCR'})"
"frozenset({'P39748', 'BCR', 'Q8WTR2'})"
"frozenset({'BCR', 'P08195', 'P16070'})"
"frozenset({'Q04864', 'Q9NQT4', 'BCR'})"
"frozenset({'BCR', 'Q9NYS7', 'Q93034'})"
"frozenset({'Q13546', 'BCR', 'P62979'})"
"frozenset({'P42680', 'Q16827', 'BCR'})"
"frozenset({'P49407', 'BCR', 'Q13428'})"
"frozenset({'P19387', 'Q9H204', 'BCR'})"
"frozenset({'P35638', 'BCR', 'P24278'})"
"frozenset({'Q16589', 'BCR', 'Q15173'})"
"frozenset({'Q9NYB9', 'BCR', 'A7KAX9'})"
"frozenset({'P38398', 'Q14204', 'BCR'})"
"frozenset({'Q9NQT4', 'BCR', 'Q8IWA0'})"
"frozenset({'P27824', 'Q6PCD5', 'BCR'})"
"frozenset({'Q6P1M3', 'BCR', 'Q9Y4B6'})"
"frozenset({'Q9Y2M5', 'BCR', 'P46108'})"
"frozenset({'Q8N201', 'BCR', 'Q9NVM9'})"
"frozenset({'BCR', 'P57078', 'P53618'})"
"frozenset({'P46781', 'P62269', 'BCR'})"
"frozenset({'O75914', 'BCR', 'P15153'})"
"frozenset({'P50402', 'P78527', 'BCR'})"
"frozenset({'Q8N4P2', 'BCR', 'Q9NWB7'})"
"frozenset({'P62273', 'BCR', 'P56545'})"
"frozenset({'BCR', 'P49368', 'Q8NHY2'})"
"frozenset({'P42357', 'BCR', 'Q14330'})"
"frozenset({'P55317', 'BCR', 'P55318'})"
"frozenset({'Q9Y5K5', 'BCR', 'Q6P4R8'})"
"frozenset({'BCR', 'Q9NWS0', 'P62487'})"
"frozenset({'P62829', 'BCR', 'P22087'})"
"frozenset({'Q9UKT9', 'BCR', 'Q86UW9'})"
"frozenset({'Q9NYB9', 'BCR', 'O00161'})"
"frozenset({'Q92905', 'Q15393', 'BCR'})"
"frozenset({'BCR', 'P49736', 'Q13469'})"
"frozenset({'BCR', 'P20036', 'P20963'})"
"frozenset({'O60232', 'BCR', 'Q04726'})"
"frozenset({'Q14155', 'BCR', 'Q92888'})"
"frozenset({'Q8IXZ2', 'O75179', 'BCR'})"
"frozenset({'P63010', 'Q9NZN4', 'BCR'})"
"frozenset({'Q86YV9', 'BCR', 'P51948'})"
"frozenset({'O76003', 'BCR', 'P26371'})"
"frozenset({'O94762', 'BCR', 'P36954'})"
"frozenset({'P61088', 'BCR', 'Q9Y4L5'})"
"frozenset({'Q7Z3B3', 'BCR', 'Q96ED9'})"
"frozenset({'BCR', 'Q9NQW7', 'Q9NWX5'})"
"frozenset({'BCR', 'Q08209', 'P46939'})"
"frozenset({'Q9Y250', 'Q7Z3I7', 'BCR'})"
"frozenset({'BCR', 'Q6P5W5', 'O95159'})"
"frozenset({'Q53GL7', 'BCR', 'P62805'})"
"frozenset({'P00558', 'BCR', 'Q6K0P9'})"
"frozenset({'Q9BTZ2', 'O75439', 'BCR'})"
"frozenset({'Q9Y371', 'Q9NR46', 'BCR'})"
"frozenset({'BCR', 'P31751', 'P35222'})"
"frozenset({'Q9NYK5', 'BCR', 'Q96E29'})"
"frozenset({'BCR', 'Q8TD10', 'Q99909'})"
"frozenset({'P27361', 'BCR', 'O43524'})"
"frozenset({'Q9BXW9', 'BCR', 'Q9NW38'})"
"frozenset({'Q8NBL1', 'Q9NRD1', 'BCR'})"
"frozenset({'O00463', 'Q93009', 'BCR'})"
"frozenset({'Q9UHX1', 'BCR', 'Q8WXA9'})"
"frozenset({'Q13569', 'P15884', 'BCR'})"
"frozenset({'Q9UBN7', 'BCR', 'Q15051'})"
"frozenset({'Q96BZ8', 'BCR', 'Q2TAC2'})"
"frozenset({'P56192', 'Q49AN0', 'BCR'})"
"frozenset({'Q3SY00', 'O95995', 'BCR'})"
"frozenset({'Q14642', 'Q6IQ23', 'BCR'})"
"frozenset({'BCR', 'Q9Y4D1', 'Q9UBE8'})"
"frozenset({'Q14202', 'BCR', 'Q9UDY2'})"
"frozenset({'Q13885', 'BCR', 'Q15014'})"
"frozenset({'Q13421', 'BCR', 'P39210'})"
"frozenset({'P34932', 'BCR', 'Q7Z6Z7'})"
"frozenset({'Q9UBB9', 'BCR', 'Q9BYU1'})"
"frozenset({'Q99880', 'BCR', 'Q9NVT9'})"
"frozenset({'Q9NUI1', 'O75792', 'BCR'})"
"frozenset({'P67936', 'BCR', 'P24941'})"
"frozenset({'Q96DF8', 'BCR', 'Q8NHS0'})"
"frozenset({'Q8IW35', 'Q9Y2I6', 'BCR'})"
"frozenset({'P05067', 'BCR', 'P78352'})"
"frozenset({'Q9UKB1', 'O95155', 'BCR'})"
"frozenset({'BCR', 'Q96L21', 'P46783'})"
"frozenset({'P04629', 'BCR', 'Q9UN70'})"
"frozenset({'Q8N556', 'BCR', 'O14976'})"
"frozenset({'Q96S52', 'BCR', 'Q92643'})"
"frozenset({'Q9P2W3', 'BCR', 'Q5JRS4'})"
"frozenset({'P19388', 'BCR', 'Q9HCS7'})"
"frozenset({'P13861', 'BCR', 'Q12802'})"
"frozenset({'Q15717', 'BCR', 'Q9NZI7'})"
"frozenset({'Q9H944', 'BCR', 'O95988'})"
"frozenset({'Q9NRR5', 'Q5VSY0', 'BCR'})"
"frozenset({'Q96HN2', 'P62241', 'BCR'})"
"frozenset({'Q9UHD9', 'Q4G0G5', 'BCR'})"
"frozenset({'P49773', 'P30480', 'BCR'})"
"frozenset({'P36508', 'BCR', 'O95202'})"
"frozenset({'P53708', 'P02452', 'BCR'})"
"frozenset({'Q86WG3', 'BCR', 'Q9UNE7'})"
"frozenset({'P49407', 'Q8NHC8', 'BCR'})"
"frozenset({'Q9BQ66', 'P49901', 'BCR'})"
"frozenset({'Q15118', 'Q15833', 'BCR'})"
"frozenset({'P50570', 'BCR', 'Q99459'})"
"frozenset({'Q9NQC1', 'BCR', 'Q9NVK5'})"
