negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'Q9NRD1', 'P40227', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UER7', 'Q13472', 'Alpha6Beta4Integrin'})"
"frozenset({'P30291', 'Q8IZQ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BVS4', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'P78362', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'Q5T4B2', 'Alpha6Beta4Integrin', 'O95231'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99666', 'Q96LY2'})"
"frozenset({'Q8IYX7', 'Alpha6Beta4Integrin', 'P35609'})"
"frozenset({'P62714', 'Q01105', 'Alpha6Beta4Integrin'})"
"frozenset({'P25054', 'P47755', 'Alpha6Beta4Integrin'})"
"frozenset({'P78332', 'Alpha6Beta4Integrin', 'P43243'})"
"frozenset({'Alpha6Beta4Integrin', 'P58304', 'Q8TEY7'})"
"frozenset({'Q4LE39', 'Alpha6Beta4Integrin', 'O75446'})"
"frozenset({'Q96FQ6', 'O95718', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C0F1', 'O14640', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01201', 'Alpha6Beta4Integrin', 'P27708'})"
"frozenset({'Alpha6Beta4Integrin', 'P17023', 'Q13263'})"
"frozenset({'O75031', 'Q8WYJ6', 'Alpha6Beta4Integrin'})"
"frozenset({'P43363', 'Q15596', 'Alpha6Beta4Integrin'})"
"frozenset({'O60262', 'Alpha6Beta4Integrin', 'Q9NQ66'})"
"frozenset({'Q9ULJ6', 'Q12968', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TDM0', 'Alpha6Beta4Integrin', 'Q969J3'})"
"frozenset({'Q9NRX1', 'P08865', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P07339', 'P01236'})"
"frozenset({'P21754', 'Q8IXA5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N0Z3', 'Alpha6Beta4Integrin', 'Q9UPN4'})"
"frozenset({'Q96KR1', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13885', 'Alpha6Beta4Integrin', 'P27708'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'Q9BUB5'})"
"frozenset({'Q9BVA0', 'Alpha6Beta4Integrin', 'Q14204'})"
"frozenset({'P05067', 'P04179', 'Alpha6Beta4Integrin'})"
"frozenset({'P05141', 'Q9H2C0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BUN8', 'P11142', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92698', 'P53667', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BWD1', 'Alpha6Beta4Integrin', 'O15347'})"
"frozenset({'Q9NNW5', 'O14654', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96AX9', 'Q7Z434', 'Alpha6Beta4Integrin'})"
"frozenset({'P10588', 'Alpha6Beta4Integrin', 'Q9UIF8'})"
"frozenset({'P12956', 'Alpha6Beta4Integrin', 'Q14687'})"
"frozenset({'Q07890', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'P54257', 'Q8WWY3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92793', 'P04637', 'Alpha6Beta4Integrin'})"
"frozenset({'P52799', 'Alpha6Beta4Integrin', 'P54753'})"
"frozenset({'Q9BUE0', 'Alpha6Beta4Integrin', 'O60244'})"
"frozenset({'Q05639', 'Alpha6Beta4Integrin', 'Q5ST30'})"
"frozenset({'Q92530', 'P38159', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRD5', 'Q9ULK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P07585', 'P15502', 'Alpha6Beta4Integrin'})"
"frozenset({'O75420', 'Alpha6Beta4Integrin', 'P31946'})"
"frozenset({'P41227', 'P11245', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IYI6', 'Alpha6Beta4Integrin', 'O76011'})"
"frozenset({'Q8WXA9', 'Alpha6Beta4Integrin', 'Q13247'})"
"frozenset({'P15090', 'Q07912', 'Alpha6Beta4Integrin'})"
"frozenset({'P51991', 'Q9H492', 'Alpha6Beta4Integrin'})"
"frozenset({'Q06546', 'Q9P0K8', 'Alpha6Beta4Integrin'})"
"frozenset({'O14733', 'Alpha6Beta4Integrin', 'Q9P2G9'})"
"frozenset({'P62979', 'O95718', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96MY7', 'Q9Y3M2', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y265', 'Q9NRQ2'})"
"frozenset({'Q9BV57', 'O94903', 'Alpha6Beta4Integrin'})"
"frozenset({'P62854', 'P62753', 'Alpha6Beta4Integrin'})"
"frozenset({'O14656', 'Alpha6Beta4Integrin', 'Q8WXE9'})"
"frozenset({'P05198', 'Q9P2K8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15013', 'Alpha6Beta4Integrin', 'P21246'})"
"frozenset({'P43146', 'P46777', 'Alpha6Beta4Integrin'})"
"frozenset({'O94822', 'Alpha6Beta4Integrin', 'P60896'})"
"frozenset({'Q9HCD5', 'Alpha6Beta4Integrin', 'Q6K0P9'})"
"frozenset({'P62269', 'Alpha6Beta4Integrin', 'P61313'})"
"frozenset({'Q92793', 'Q96JK9', 'Alpha6Beta4Integrin'})"
"frozenset({'P06748', 'P51003', 'Alpha6Beta4Integrin'})"
"frozenset({'P01137', 'Q06828', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'O60431', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15642', 'Q6SPF0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96P20', 'P45973', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NGQ4', 'Alpha6Beta4Integrin', 'P25098'})"
"frozenset({'P48736', 'Q9H0R8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92734', 'Alpha6Beta4Integrin', 'O95166'})"
"frozenset({'P55316', 'Q9H2P0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP6', 'Q7Z572', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UNQ2', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Q9NR12', 'Alpha6Beta4Integrin', 'O95425'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'Q9UKB1'})"
"frozenset({'P67870', 'Alpha6Beta4Integrin', 'Q03112'})"
"frozenset({'P45974', 'Alpha6Beta4Integrin', 'P14555'})"
"frozenset({'Q9NR96', 'P16333', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P09619', 'P20809'})"
"frozenset({'O43772', 'Alpha6Beta4Integrin', 'Q9H910'})"
"frozenset({'P43243', 'P27797', 'Alpha6Beta4Integrin'})"
"frozenset({'P61421', 'P62249', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P15882', 'O43639'})"
"frozenset({'O14818', 'Alpha6Beta4Integrin', 'Q9HC96'})"
"frozenset({'Q14241', 'Q8N137', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13315', 'Q8IX12'})"
"frozenset({'Q8IXK0', 'Q9HC52', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99459', 'P08621', 'Alpha6Beta4Integrin'})"
"frozenset({'P61421', 'Alpha6Beta4Integrin', 'P16989'})"
"frozenset({'P24539', 'Q9UJZ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O14976', 'Q38SD2'})"
"frozenset({'P06702', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16082', 'O43294'})"
"frozenset({'P32121', 'P19338', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQ04', 'Alpha6Beta4Integrin', 'Q8NB12'})"
"frozenset({'Q9Y620', 'O75865', 'Alpha6Beta4Integrin'})"
"frozenset({'O60674', 'P26951', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UHB7', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y2X7', 'Q15075', 'Alpha6Beta4Integrin'})"
"frozenset({'P40429', 'P62263', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BTV4', 'Q13620', 'Alpha6Beta4Integrin'})"
"frozenset({'P55769', 'Q9UPE1', 'Alpha6Beta4Integrin'})"
"frozenset({'O14602', 'Alpha6Beta4Integrin', 'O75821'})"
"frozenset({'P10070', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Q9NSD9', 'P19320', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Q13094', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2K2', 'Alpha6Beta4Integrin', 'Q13698'})"
"frozenset({'Q9BXC0', 'P04899', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYV6', 'Alpha6Beta4Integrin', 'Q8WZ42'})"
"frozenset({'P42226', 'Q460N5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6UXN9', 'P09936', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96DX8', 'Alpha6Beta4Integrin', 'P61218'})"
"frozenset({'Q15139', 'Alpha6Beta4Integrin', 'P46937'})"
"frozenset({'P05412', 'P49756', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N122', 'Q7L523', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'Q96KV7'})"
"frozenset({'P56556', 'P56181', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T5A8', 'Alpha6Beta4Integrin', 'O43597'})"
"frozenset({'P51812', 'Alpha6Beta4Integrin', 'Q99640'})"
"frozenset({'Q96LW4', 'Alpha6Beta4Integrin', 'P15927'})"
"frozenset({'P35626', 'P25024', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TD31', 'Alpha6Beta4Integrin', 'O15320'})"
"frozenset({'Q13185', 'P21506', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96EB6', 'Alpha6Beta4Integrin', 'Q00534'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q9NYJ1'})"
"frozenset({'Q16537', 'Alpha6Beta4Integrin', 'Q96Q15'})"
"frozenset({'Q8TBJ4', 'Alpha6Beta4Integrin', 'P61224'})"
"frozenset({'Q96SB4', 'Alpha6Beta4Integrin', 'Q6P2Q9'})"
"frozenset({'P62837', 'Q969K3', 'Alpha6Beta4Integrin'})"
"frozenset({'P17252', 'P05107', 'Alpha6Beta4Integrin'})"
"frozenset({'P61604', 'P23528', 'Alpha6Beta4Integrin'})"
"frozenset({'O75379', 'O43752', 'Alpha6Beta4Integrin'})"
"frozenset({'P08240', 'Alpha6Beta4Integrin', 'Q9HBH1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TCJ0', 'P42704'})"
"frozenset({'Q9UL42', 'Q8TEW0', 'Alpha6Beta4Integrin'})"
"frozenset({'P38398', 'Alpha6Beta4Integrin', 'Q5T7P8'})"
"frozenset({'P28324', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'P54257', 'Alpha6Beta4Integrin', 'P30519'})"
"frozenset({'Q16695', 'P78395', 'Alpha6Beta4Integrin'})"
"frozenset({'P17658', 'Alpha6Beta4Integrin', 'P55084'})"
"frozenset({'P54274', 'O76024', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15269', 'Alpha6Beta4Integrin', 'Q96LK0'})"
"frozenset({'P06748', 'Q15181', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P63104', 'Q9BRL6'})"
"frozenset({'P14324', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'Q00653', 'Alpha6Beta4Integrin', 'P34931'})"
"frozenset({'P68431', 'Alpha6Beta4Integrin', 'P15735'})"
"frozenset({'Q9BTE6', 'Q9NQC1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4L1', 'Alpha6Beta4Integrin', 'P16104'})"
"frozenset({'Q93009', 'Q16763', 'Alpha6Beta4Integrin'})"
"frozenset({'O75208', 'Alpha6Beta4Integrin', 'Q9H078'})"
"frozenset({'P22531', 'O75461', 'Alpha6Beta4Integrin'})"
"frozenset({'P35544', 'P62244', 'Alpha6Beta4Integrin'})"
"frozenset({'P11308', 'P17947', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UJX5', 'Alpha6Beta4Integrin', 'Q6NUK1'})"
"frozenset({'Q13573', 'Alpha6Beta4Integrin', 'Q86VH2'})"
"frozenset({'Q05086', 'Alpha6Beta4Integrin', 'Q99496'})"
"frozenset({'Q15560', 'Alpha6Beta4Integrin', 'Q9H307'})"
"frozenset({'O94762', 'Alpha6Beta4Integrin', 'Q06609'})"
"frozenset({'Q93008', 'Alpha6Beta4Integrin', 'P46937'})"
"frozenset({'Q7Z3S9', 'P12236', 'Alpha6Beta4Integrin'})"
"frozenset({'P25445', 'Alpha6Beta4Integrin', 'P06400'})"
"frozenset({'P15311', 'Q9GZV4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBP9', 'P05107', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13822', 'P04792', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99575', 'Q00839', 'Alpha6Beta4Integrin'})"
"frozenset({'O14980', 'Q5XX13', 'Alpha6Beta4Integrin'})"
"frozenset({'P01344', 'P18146', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQL6', 'Q9NR83', 'Alpha6Beta4Integrin'})"
"frozenset({'O94907', 'P0CG38', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H9S5', 'Alpha6Beta4Integrin', 'Q99871'})"
"frozenset({'Q00535', 'Q8TDN4', 'Alpha6Beta4Integrin'})"
"frozenset({'P40855', 'Alpha6Beta4Integrin', 'P08574'})"
"frozenset({'O95400', 'P82279', 'Alpha6Beta4Integrin'})"
"frozenset({'P30450', 'Alpha6Beta4Integrin', 'P01889'})"
"frozenset({'Q02241', 'Q96NL6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H8Y8', 'Q08117', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99729', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'Q5FYB0', 'Alpha6Beta4Integrin', 'Q13077'})"
"frozenset({'Q4LE39', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O94874', 'P51965'})"
"frozenset({'Q7Z2W9', 'Q9BYD2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92754', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q53EZ4', 'Q9HC77', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96A23', 'Alpha6Beta4Integrin', 'Q99417'})"
"frozenset({'P62241', 'Alpha6Beta4Integrin', 'Q8N5P1'})"
"frozenset({'Q8NEZ2', 'Alpha6Beta4Integrin', 'O14980'})"
"frozenset({'Q8NBT2', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'P05106', 'Alpha6Beta4Integrin', 'P07942'})"
"frozenset({'Q14CS0', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H814', 'Alpha6Beta4Integrin', 'Q05682'})"
"frozenset({'O75312', 'Alpha6Beta4Integrin', 'Q9BYN0'})"
"frozenset({'Q13619', 'P17844', 'Alpha6Beta4Integrin'})"
"frozenset({'P08069', 'Q96J02', 'Alpha6Beta4Integrin'})"
"frozenset({'P35227', 'Alpha6Beta4Integrin', 'P25490'})"
"frozenset({'Q02790', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'P20823', 'Q9Y5W7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP1', 'Alpha6Beta4Integrin', 'P21580'})"
"frozenset({'Q2M2I8', 'Q96CW1', 'Alpha6Beta4Integrin'})"
"frozenset({'O75521', 'P14735', 'Alpha6Beta4Integrin'})"
"frozenset({'P14867', 'Alpha6Beta4Integrin', 'O95166'})"
"frozenset({'P24928', 'Alpha6Beta4Integrin', 'Q96LC9'})"
"frozenset({'Alpha6Beta4Integrin', 'P06865', 'Q86UP2'})"
"frozenset({'Q13586', 'Alpha6Beta4Integrin', 'O75396'})"
"frozenset({'Q16659', 'Q9P253', 'Alpha6Beta4Integrin'})"
"frozenset({'P61221', 'Q16718', 'Alpha6Beta4Integrin'})"
"frozenset({'P46013', 'Alpha6Beta4Integrin', 'P06493'})"
"frozenset({'Q02363', 'Alpha6Beta4Integrin', 'Q9H5I1'})"
"frozenset({'P28066', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'P60709', 'P49023', 'Alpha6Beta4Integrin'})"
"frozenset({'P62837', 'Alpha6Beta4Integrin', 'Q8WY64'})"
"frozenset({'Q9H081', 'Q9HBM1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5S007', 'Alpha6Beta4Integrin', 'O94832'})"
"frozenset({'O75022', 'P31994', 'Alpha6Beta4Integrin'})"
"frozenset({'P31321', 'Q99747', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T9S5', 'Q8IYE1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15834', 'Q5VWN6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92731', 'Alpha6Beta4Integrin', 'P22090'})"
"frozenset({'Q9BUZ4', 'Q8IX15', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NVU0', 'A6H8Y1'})"
"frozenset({'P16615', 'Q9BXB1', 'Alpha6Beta4Integrin'})"
"frozenset({'P23471', 'Alpha6Beta4Integrin', 'Q9UM73'})"
"frozenset({'P80188', 'Alpha6Beta4Integrin', 'Q13049'})"
"frozenset({'P46777', 'Alpha6Beta4Integrin', 'Q08211'})"
"frozenset({'O96004', 'Alpha6Beta4Integrin', 'Q9UJW3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WYQ5', 'Q5VT52'})"
"frozenset({'P62879', 'P42224', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N488', 'Alpha6Beta4Integrin', 'P61962'})"
"frozenset({'A6NK59', 'Q93034', 'Alpha6Beta4Integrin'})"
"frozenset({'O00487', 'Alpha6Beta4Integrin', 'Q53HC0'})"
"frozenset({'Q9UNY5', 'Alpha6Beta4Integrin', 'Q96CD2'})"
"frozenset({'Q96KG9', 'Alpha6Beta4Integrin', 'Q8TDX7'})"
"frozenset({'Q15651', 'Q96SB4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BUV8', 'P17844', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00536', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'P35249', 'Alpha6Beta4Integrin', 'Q6ZW49'})"
"frozenset({'P07359', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Q8IXK0', 'Q9Y2D8', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IXQ9', 'P10809'})"
"frozenset({'Q9NWM3', 'O43482', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UNY4', 'Q9BRT8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8ND90', 'Alpha6Beta4Integrin', 'Q8TES7'})"
"frozenset({'Q8IY92', 'Q9GZZ9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP6', 'O95831', 'Alpha6Beta4Integrin'})"
"frozenset({'P49792', 'O15169', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2C0', 'Q7Z460', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05519', 'Q8TF01', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P08237', 'Q9HCE1'})"
"frozenset({'O15123', 'P36888', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P31942', 'O43390'})"
"frozenset({'Q13573', 'Q9Y3I0', 'Alpha6Beta4Integrin'})"
"frozenset({'P42224', 'Q9UBQ0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYC2', 'Q9Y697', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00444', 'Alpha6Beta4Integrin', 'P78424'})"
"frozenset({'P60371', 'Q08ER8', 'Alpha6Beta4Integrin'})"
"frozenset({'P42771', 'O95777', 'Alpha6Beta4Integrin'})"
"frozenset({'O43918', 'Q03252', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y5S9', 'Alpha6Beta4Integrin', 'Q08211'})"
"frozenset({'Q9UBS0', 'P46782', 'Alpha6Beta4Integrin'})"
"frozenset({'P16333', 'Q13177', 'Alpha6Beta4Integrin'})"
"frozenset({'P04899', 'Alpha6Beta4Integrin', 'P20963'})"
"frozenset({'Q9H6Z9', 'Q9Y597', 'Alpha6Beta4Integrin'})"
"frozenset({'O75688', 'Alpha6Beta4Integrin', 'P62258'})"
"frozenset({'Q8WXW3', 'Alpha6Beta4Integrin', 'Q8N4C6'})"
"frozenset({'P63244', 'Alpha6Beta4Integrin', 'P46781'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TCU4', 'Q6UVJ0'})"
"frozenset({'P34897', 'Q92597', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Alpha6Beta4Integrin', 'P78527'})"
"frozenset({'P20248', 'Q96C92', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96G75', 'Alpha6Beta4Integrin', 'P62256'})"
"frozenset({'P62333', 'P51665', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14469', 'P07900', 'Alpha6Beta4Integrin'})"
"frozenset({'O15530', 'Alpha6Beta4Integrin', 'P05106'})"
"frozenset({'P12931', 'P13645', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96MF7', 'Q01844', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O00159', 'Q13435'})"
"frozenset({'P32121', 'P21731', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z6Z7', 'Alpha6Beta4Integrin', 'Q9H1H9'})"
"frozenset({'P62942', 'P26885', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P34932', 'O43734'})"
"frozenset({'P43220', 'Alpha6Beta4Integrin', 'Q4G176'})"
"frozenset({'Q8N131', 'Alpha6Beta4Integrin', 'Q96EQ0'})"
"frozenset({'P29972', 'Alpha6Beta4Integrin', 'Q96LC9'})"
"frozenset({'Q15365', 'Alpha6Beta4Integrin', 'Q14164'})"
"frozenset({'Q86UP8', 'Alpha6Beta4Integrin', 'Q8IZL9'})"
"frozenset({'P05026', 'Alpha6Beta4Integrin', 'Q99728'})"
"frozenset({'Q8WUM4', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6PJT7', 'Q03933', 'Alpha6Beta4Integrin'})"
"frozenset({'P56559', 'Alpha6Beta4Integrin', 'Q9NRR5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BQ83', 'Q9Y3F4'})"
"frozenset({'Q9H6Y2', 'Q96SB4', 'Alpha6Beta4Integrin'})"
"frozenset({'P24522', 'Q92922', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N3U4', 'P55072', 'Alpha6Beta4Integrin'})"
"frozenset({'O14964', 'Alpha6Beta4Integrin', 'P02533'})"
"frozenset({'P35232', 'Alpha6Beta4Integrin', 'P39656'})"
"frozenset({'Q92526', 'Alpha6Beta4Integrin', 'Q9Y4R7'})"
"frozenset({'P52803', 'P12931', 'Alpha6Beta4Integrin'})"
"frozenset({'O43889', 'Alpha6Beta4Integrin', 'P51610'})"
"frozenset({'P60763', 'P27986', 'Alpha6Beta4Integrin'})"
"frozenset({'A7KAX9', 'Alpha6Beta4Integrin', 'P29353'})"
"frozenset({'Q96EY7', 'P82650', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14781', 'Alpha6Beta4Integrin', 'Q01860'})"
"frozenset({'Q9UNK0', 'Alpha6Beta4Integrin', 'Q07820'})"
"frozenset({'Q8N9I5', 'Q6L8H4', 'Alpha6Beta4Integrin'})"
"frozenset({'P05412', 'Alpha6Beta4Integrin', 'Q15759'})"
"frozenset({'Q9NRS4', 'Q9BSE2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5TCM9', 'Alpha6Beta4Integrin', 'Q9H2X0'})"
"frozenset({'Alpha6Beta4Integrin', 'O14745', 'P43405'})"
"frozenset({'O00443', 'P40692', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12947', 'Alpha6Beta4Integrin', 'Q9BVC4'})"
"frozenset({'Q99766', 'Q9NQX4', 'Alpha6Beta4Integrin'})"
"frozenset({'O75223', 'Alpha6Beta4Integrin', 'A6NK89'})"
"frozenset({'Q92530', 'P56545', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P2E9', 'Q9NPJ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96HA8', 'Q5T752'})"
"frozenset({'Q96QZ7', 'P63000', 'Alpha6Beta4Integrin'})"
"frozenset({'P62714', 'Alpha6Beta4Integrin', 'Q9Y698'})"
"frozenset({'Q9BXF9', 'Alpha6Beta4Integrin', 'Q9BYR8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UII2', 'P46937'})"
"frozenset({'P48594', 'P45983', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKV0', 'Alpha6Beta4Integrin', 'P04908'})"
"frozenset({'P62316', 'Alpha6Beta4Integrin', 'P62306'})"
"frozenset({'Q9BTT4', 'Alpha6Beta4Integrin', 'Q9UBN7'})"
"frozenset({'O95757', 'Alpha6Beta4Integrin', 'Q8IXB1'})"
"frozenset({'Q15796', 'Alpha6Beta4Integrin', 'Q9NXB0'})"
"frozenset({'P62979', 'P46527', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H3N1', 'Q6NUS6', 'Alpha6Beta4Integrin'})"
"frozenset({'P49768', 'P10636', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99961', 'O14531', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYV2', 'P09067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00536', 'Q6IQ23', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Alpha6Beta4Integrin', 'Q09161'})"
"frozenset({'Q8TBY0', 'Q93062', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96JC9', 'Alpha6Beta4Integrin', 'P46100'})"
"frozenset({'Q9UHL4', 'Q9GZS3', 'Alpha6Beta4Integrin'})"
"frozenset({'O75604', 'Alpha6Beta4Integrin', 'O76011'})"
"frozenset({'A1L4K1', 'P13682', 'Alpha6Beta4Integrin'})"
"frozenset({'P28356', 'Alpha6Beta4Integrin', 'P41161'})"
"frozenset({'O75157', 'Alpha6Beta4Integrin', 'Q8WZ42'})"
"frozenset({'Q9Y383', 'Alpha6Beta4Integrin', 'P02768'})"
"frozenset({'P10914', 'P01579', 'Alpha6Beta4Integrin'})"
"frozenset({'P51649', 'Q9NQW1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15274', 'Alpha6Beta4Integrin', 'Q14161'})"
"frozenset({'Q49A26', 'O00567', 'Alpha6Beta4Integrin'})"
"frozenset({'O75530', 'Q86U86', 'Alpha6Beta4Integrin'})"
"frozenset({'Q659A1', 'P01857', 'Alpha6Beta4Integrin'})"
"frozenset({'P24539', 'P06753', 'Alpha6Beta4Integrin'})"
"frozenset({'O94806', 'O95989', 'Alpha6Beta4Integrin'})"
"frozenset({'P54707', 'Alpha6Beta4Integrin', 'Q96G27'})"
"frozenset({'P35222', 'Alpha6Beta4Integrin', 'Q9BZK7'})"
